task_2_clarification,task_3_perception_q,task_1_oidx_from_user,task_1_correct_goal,task_3_f1,task_2_synonym,task_1_correct_patient,incomplete_logfile,task_1_f1,task_2_perception_ex,task_3_perception_ex,task_1_perception_yn,task_1_correct_action,task_2_f1,task_3_correct_source,warning_found_in_logfile,task_2_correct_action,task_1_correct,task_3_clarification,task_2_oidx_from_user,pickle_exists,task_2_perception_yn,task_3_synonym,understood,log_exists,use_navigation,task_1_clarification,task_3_correct_goal,object_qs,task_3_str_from_user,task_2_str_from_user,task_3_correct,task_1_synonym,task_2_correct_patient,uid,task_2_correct,task_3_correct_recipient,task_3_correct_patient,task_2_perception_q,worker_id,task_1_perception_q,task_2_correct_source,task_3_oidx_from_user,tasks_easy,task_1_perception_ex,use_delivery,task_1_enum_from_user,frustrated,task_2_correct_goal,task_3_enum_from_user,task_2_correct_recipient,task_1_correct_recipient,task_3_correct_action,error_found_in_logfile,task_1_str_from_user,task_3_perception_yn,task_1_correct_source,task_2_enum_from_user,use_relocation
12,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,1.0,-2,0,1,-2,0,2,1,1,0,4,1,,0,-2,5,0,11,-2,0,1,5c149aad665ee,1,-2,-2,0,A3V8RTCR7QOGTU,0,0,0,5,0,4,0,5,0,0,1,-2,-2,0,0,0,-2,2,
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,0,1,0,6,-2,6,0,0,-2,0,-2,5c147c9e4443e,-2,-2,-2,0,A3RH0FSJYQSFEZ,0,-2,0,0,0,,1,6,-2,0,-2,0,-2,0,5,0,0,0,
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,2,1,0,10,-2,1,0,0,-2,0,-2,5c147b674593b,-2,-2,-2,0,AIL6VPY6YU70L,0,-2,0,2,0,,1,4,-2,0,-2,0,-2,0,9,0,0,0,
0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-2,0,-2,-1,0,0,0,0,0,6,1,4,0,-2,5,0,0,-2,0,-2,5c147dc124961,-2,-2,-2,0,A3HFVMR2UOUH65,0,-2,0,5,0,,0,5,-2,0,-2,-1,-2,0,0,0,-1,0,
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-2,0,-1,-2,0,0,0,0,0,5,1,,0,-2,5,0,0,-2,0,-1,5c147fe38a54b,-1,-2,-2,0,AVJUBECUZLVET,0,-1,0,4,0,5,0,6,-1,0,-1,-2,-2,0,0,0,-2,0,
17,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,5,0,17,-2,0,0,5c147b8004f54,0,-2,-2,0,A8P709MM8NXWJ,0,0,0,0,0,5,0,4,0,0,1,-2,-2,0,0,0,-2,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,12,0,1,0,0,1,1,,0,0,4,11,0,0,0,-2,5c147e6848c83,-2,0,0,0,A3P57IUDHUKNCE,0,-2,0,5,0,,0,4,-2,1,-2,-2,0,0,0,0,-2,0,6
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,6,0,1,0,0,4,1,,0,0,4,6,0,0,0,-2,5c147bdfb7866,-2,0,0,0,AIOJ4BDOSU60X,0,-2,0,5,0,,0,5,-2,0,-2,-2,0,0,0,0,-2,0,4
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,5,1,5,14,-2,4,0,0,-2,0,-2,5c14861df227e,-2,-2,-2,0,A1FZUX5NRB7JSK,0,-2,0,4,3,,2,5,-2,0,-2,0,-2,0,12,0,0,0,
9,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,1.0,-2,0,1,-2,0,2,1,1,0,5,1,,0,-2,5,0,10,-2,0,1,5c147b9fc03b7,1,-2,-2,0,A234Q8CXUV7MZY,0,0,0,5,0,3,0,4,0,0,1,-2,-2,0,0,0,-2,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,7,0,1,0,0,2,1,,0,0,3,6,0,0,0,-2,5c147bacd4cf5,-2,0,0,0,A65ADEF6KA2TZ,0,-2,0,4,0,,0,0,-2,1,-2,-2,0,0,0,0,-2,0,5
10,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0.666666666667,-2,0,1,-2,0,2,1,1,0,2,1,,0,-2,4,0,11,-2,0,0,5c147f055ab73,0,-2,-2,0,A24DDWABLZUX1H,0,0,0,2,0,0,0,4,0,0,1,-2,-2,0,0,0,-2,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,2,1,0,8,-2,1,0,0,-2,0,-2,5c147b5e7ea87,-2,-2,-2,0,A3M2R5CPW4MTOS,0,-2,0,3,3,,1,4,-2,0,-2,0,-2,0,7,0,0,0,
12,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0.666666666667,-2,0,1,-2,0,0,1,3,0,0,1,,0,-2,6,0,14,-2,0,0,5c147b51b192b,0,-2,-2,0,A3TCJLYB0AW0BQ,0,0,0,0,0,0,0,5,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,-1,-1,0,-1,1,-1,0,0,0,-1,-1,-2,0,-2,-1,0,0,0,0,0,1,1,2,0,-2,6,0,0,-2,0,-2,5c147c9a68a49,-2,-2,-2,0,A1H1TKK54YG94Q,0,-2,0,2,0,,0,4,-2,0,-2,-1,-2,0,0,0,-1,0,
0,0,2,0,-1,0,0,1,0.5,0,0,1,1,-1,-2,0,-2,0,0,0,1,0,0,5,1,4,6,-2,1,0,0,-2,0,-2,5c14a7c506bac,-2,-2,-2,0,A1Z0IHBMS0UDDY,0,-2,0,5,2,,0,1,-2,0,-2,0,-2,0,7,0,0,0,
11,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,3,1,,0,-2,1,0,13,-2,0,1,5c14b9686ef32,1,-2,-2,0,A23RZ582BJKDRI,0,0,0,5,0,5,0,1,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,8,0,1,0,0,0,1,,0,0,5,8,0,0,0,-2,5c14b29e3aa1a,-2,0,0,0,A3K1P4SPR8XS7R,0,-2,3,0,0,,0,5,-2,0,-2,-2,0,0,0,0,-2,0,0
0,0,0,-2,0,0,-2,1,-1,0,2,0,-2,-1,0,0,-2,-2,5,0,1,0,0,5,1,,0,0,3,5,0,0,0,-2,5c14aedd2b126,-2,0,0,0,A2V15R69AQ3901,0,-2,2,5,0,,0,0,-2,1,-2,-2,0,0,0,1,-2,0,6
16,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,3,0,15,-2,0,1,5c14ac3fa7f6e,1,-2,-2,0,APPNTU0LE3T9L,0,0,0,5,0,1,0,4,0,0,1,-2,-2,0,0,0,-2,1,
10,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,0,0,8,-2,0,1,5c14a88048c0e,1,-2,-2,0,A1M4PRLTXVYE9T,0,0,0,6,0,5,0,1,0,0,1,-2,-2,0,0,0,-2,2,
0,0,0,-2,0.285714285714,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,20,0,1,0,0,1,1,,0,0,4,18,0,0,0,-2,5c14bb29b1e5f,-2,0,1,0,A3908297ZI3LES,0,-2,3,1,0,,0,1,-2,2,-2,-2,0,0,0,0,-2,0,0
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,5,1,5,11,-2,3,0,0,-2,0,-2,5c14c03eb37f7,-2,-2,-2,0,A3VLHYQMLNOUL7,0,-2,0,3,3,,0,1,-2,0,-2,0,-2,0,11,0,0,0,
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,1,1,0,10,-2,2,0,0,-2,0,-2,5c14ad889ed38,-2,-2,-2,0,ABU4N700ROJQ6,0,-2,0,6,0,,1,5,-2,0,-2,0,-2,0,9,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,1,1,0,7,-2,6,0,0,-2,0,-2,5c14bbc321d43,-2,-2,-2,0,A2XHYHTIEG8FOL,0,-2,0,5,3,,1,5,-2,0,-2,0,-2,0,6,0,0,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,18,0,1,0,0,1,1,,0,0,4,17,0,0,0,-2,5c14a8572fa90,-2,0,0,0,AUZ3Y0G78Y9KW,0,-2,0,4,0,,0,5,-2,1,-2,-2,0,0,0,0,-2,0,1
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,4,1,2,8,-2,1,0,0,-2,0,-2,5c14b7a183ac3,-2,-2,-2,0,AEVJLY6J45R8L,0,-2,0,2,0,,1,2,-2,0,-2,0,-2,0,7,0,0,0,
9,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,1.0,-2,0,1,-2,0,1,1,2,0,4,1,,0,-2,1,0,10,-2,0,1,5c14d6c3220d0,1,-2,-2,0,A30G98ZDOZMUVK,0,0,0,5,0,1,0,1,0,0,1,-2,-2,0,0,0,-2,1,
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,5,1,4,12,-2,5,0,0,-2,0,-2,5c14bfd92813c,-2,-2,-2,0,A1FZUX5NRB7JSK,0,-2,0,4,3,,2,5,-2,0,-2,0,-2,0,10,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,1,6,-2,1,0,0,-2,0,-2,5c14b82545c4e,-2,-2,-2,0,A2GV3U58ZVJUME,0,-2,0,6,3,,0,1,-2,0,-2,0,-2,0,6,0,0,0,
10,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,1.0,-2,0,1,-2,0,1,1,2,0,3,1,,0,-2,3,0,11,-2,0,1,5c14c5c243ad7,1,-2,-2,0,A1RNGPLY0KHWWG,0,0,0,2,0,5,0,4,0,0,1,-2,-2,0,0,0,-2,1,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,3,5,-2,5,0,0,-2,0,-2,5c14a83109445,-2,-2,-2,0,A12I4JOVZ1HZW8,0,-2,0,5,3,,0,4,-2,0,-2,0,-2,0,5,0,0,0,
19,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,1,1,,0,-2,2,0,20,-2,0,1,5c14b21bf0c8b,1,-2,-2,0,A1E235KE3CSO7H,0,0,0,2,0,1,0,4,0,0,1,-2,-2,0,0,0,-2,2,
6,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0,-2,0,0,-2,0,2,1,1,0,4,1,,0,-2,5,0,6,-2,0,0,5c14acef2b5b6,0,-2,-2,0,A1ON7063MX4B6,0,0,0,5,0,5,0,4,0,0,0,-2,-2,0,0,0,-2,1,
14,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.333333333333,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,5,0,14,-2,0,0,5c14a98797af7,0,-2,-2,0,A37ZS5WJOHUOIC,0,0,0,5,0,4,0,4,0,0,0,-2,-2,0,0,0,-2,0,
0,0,0,-2,0.285714285714,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,8,0,1,0,0,1,1,,0,0,2,7,0,0,0,-2,5c14ba37d33da,-2,0,1,0,A3A2TB8AGJGPE6,0,-2,3,2,0,,0,6,-2,1,-2,-2,0,0,0,0,-2,0,0
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,4,1,3,13,-2,1,0,0,-2,0,-2,5c14b1ee7981f,-2,-2,-2,0,A1S88VQY8G8CNC,0,-2,0,1,3,,2,6,-2,0,-2,0,-2,0,11,0,0,0,
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,4,1,4,6,-2,2,0,0,-2,0,-2,5c14d0b77dd98,-2,-2,-2,0,A2L73JKDFWI0KJ,0,-2,0,5,0,,0,4,-2,0,-2,0,-2,0,6,0,0,0,
17,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,4,1,,0,-2,1,0,19,-2,0,1,5c14ce830ff14,1,-2,-2,0,A1GEZDTJPG3Q7U,0,0,0,5,0,3,0,2,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,4,1,4,9,-2,2,0,0,-2,0,-2,5c14ab2a7c685,-2,-2,-2,0,A1KVZHRSERQEN9,0,-2,0,2,0,,1,4,-2,0,-2,0,-2,0,8,0,0,0,
14,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,4,1,,0,-2,0,0,15,-2,0,1,5c14a7c58a6b8,1,-2,-2,0,A1WWRDX5HQ1WOK,0,0,0,6,0,1,0,0,0,0,1,-2,-2,0,0,0,-2,2,
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,4,1,6,24,-2,6,0,0,-2,0,-2,5c14b06fab661,-2,-2,-2,0,A1ZEGHFJT4COTJ,0,-2,0,3,3,,1,5,-2,0,-2,0,-2,0,23,0,0,0,
0,0,0,-2,0.75,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,15,0,1,0,0,6,1,,0,1,4,12,0,0,0,-2,5c14b34a6bad2,-2,0,1,0,A1U2A42K8FV3RA,0,-2,3,6,0,,0,2,-2,3,-2,-2,1,0,0,0,-2,0,4
21,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,6,1,,0,-2,0,0,22,-2,0,1,5c14b1c4740f5,1,-2,-2,0,A15SJZQBR8I3B3,0,0,0,4,0,4,0,0,0,0,1,-2,-2,0,0,0,-2,2,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,8,0,1,0,0,4,1,,0,0,2,7,0,0,0,-2,5c14b5e3699bd,-2,0,0,0,A2KYOM2ZGYDJGT,0,-2,0,5,0,,0,4,-2,1,-2,-2,0,0,0,0,-2,0,1
0,0,0,-2,1.0,0,-2,1,-1,0,2,0,-2,-1,1,0,-2,-2,16,0,1,0,0,1,1,,0,1,4,15,0,1,0,-2,5c14a9240ca12,-2,0,1,0,AUB4G0UAESKNQ,0,-2,2,4,0,,0,4,-2,2,-2,-2,1,0,0,1,-2,0,2
0,0,1,0,-1,0,0,1,0,0,0,2,0,-1,-2,0,-2,0,0,0,1,0,0,4,1,2,11,-2,2,0,0,-2,0,-2,5c14b2f544a9f,-2,-2,-2,0,A1GRLZL4F72RBJ,0,-2,0,4,1,,2,2,-2,0,-2,0,-2,0,11,0,0,0,
9,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,3,0,8,-2,0,1,5c14b19270140,1,-2,-2,0,A3HL2LL0LEPZT8,0,0,0,5,0,3,0,4,0,0,1,-2,-2,0,0,0,-2,1,
13,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0.333333333333,-2,0,1,-2,0,2,1,1,0,1,1,,0,-2,3,0,14,-2,0,0,5c14b03771d3a,0,-2,-2,0,A1DDNPNUO1TNRC,0,0,0,4,0,2,0,5,0,0,0,-2,-2,0,0,0,-2,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,6,0,1,0,0,5,1,,0,0,1,6,0,0,0,-2,5c15208c8a867,-2,0,0,0,A15JP0TGZKLNIZ,0,-2,0,6,0,,0,1,-2,0,-2,-2,0,0,0,0,-2,0,6
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,6,1,6,5,-2,5,0,0,-2,0,-2,5c14abaa85fb4,-2,-2,-2,0,A2OEDX14YO8EFJ,0,-2,0,5,3,,1,5,-2,0,-2,0,-2,0,4,0,0,0,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,15,0,1,0,0,1,1,,0,0,3,18,0,0,0,-2,5c14b1d13f02f,-2,0,0,0,A1JWKT0IS06YKL,0,-2,0,4,0,,0,2,-2,1,-2,-2,0,0,0,4,-2,0,1
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,10,0,1,0,0,5,1,,0,0,5,9,0,0,0,-2,5c14a80979a29,-2,0,0,0,A1A7XGY2FZH78C,0,-2,3,4,0,,0,4,-2,1,-2,-2,0,0,0,0,-2,0,4
14,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0.333333333333,-2,0,1,-2,0,0,1,4,0,4,1,,0,-2,4,0,17,-2,0,0,5c14a81fddb7c,0,-2,-2,0,A2D4X82TOMF0F9,0,0,0,2,0,4,0,1,0,0,0,-2,-2,0,0,0,-2,1,
11,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,4,1,,0,-2,2,0,10,-2,0,1,5c14b033aef8b,0,-2,-2,0,AGRKG3YT3KMD8,0,0,0,2,0,3,0,3,0,0,0,-2,-2,0,0,0,-2,1,
10,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,0,-2,0,0,-2,0,2,1,3,0,6,1,,0,-2,5,0,11,-2,0,0,5c14ab7cc4ffe,0,-2,-2,0,A3V8RTCR7QOGTU,0,0,0,5,0,5,0,6,0,0,0,-2,-2,0,0,0,-2,2,
0,0,0,0,-1,0,0,1,0,0,0,4,0,-1,-2,0,-2,0,0,0,1,0,0,2,1,4,12,-2,3,0,0,-2,0,-2,5c14a7f745351,-2,-2,-2,0,A2P3WROT1JFU0C,0,-2,0,5,0,,0,4,-2,0,-2,0,-2,0,16,0,0,0,
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,6,1,5,6,-2,6,0,0,-2,0,-2,5c14b030d3e6d,-2,-2,-2,0,A1R1LPJA3QFCX3,0,-2,0,5,0,,1,5,-2,0,-2,0,-2,0,5,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,6,4,-2,1,0,0,-2,0,-2,5c14b0f5640b1,-2,-2,-2,0,A1670FZ8PSTF3,0,-2,0,6,3,,0,1,-2,0,-2,0,-2,0,4,0,0,0,
4,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,1.0,-2,0,1,-2,0,1,1,2,0,5,1,,0,-2,1,0,6,-2,0,1,5c14ab9f6adf2,1,-2,-2,0,A1FYFBIFYWTMJS,0,0,0,5,0,5,0,1,0,0,1,-2,-2,0,0,0,-2,0,
14,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,1,1,,0,-2,6,0,13,-2,0,1,5c14a7f282ac4,1,-2,-2,0,A1S1RIZ03GVLS4,0,0,0,0,0,0,0,6,0,0,1,-2,-2,0,0,0,-2,1,
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,4,1,3,10,-2,5,0,0,-2,0,-2,5c156dc4d703a,-2,-2,-2,0,AWG7WAVMZCRGU,0,-2,0,2,3,,2,4,-2,0,-2,0,-2,0,8,0,0,0,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,2,1,0,5,-2,3,0,0,-2,0,-2,5c156bdcd6fbf,-2,-2,-2,0,AXTFSJDN2YLO5,0,-2,0,4,3,,0,4,-2,0,-2,0,-2,0,5,0,0,0,
0,0,0,-2,0.75,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,12,0,1,0,0,4,1,,0,1,4,12,0,0,0,-2,5c156d94b0b8b,-2,0,0,0,AXY0D2AMLKE2A,0,-2,3,4,0,,0,4,-2,0,-2,-2,1,0,0,0,-2,0,5
0,0,0,-2,0,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,17,0,1,0,0,2,1,,0,0,2,16,0,0,0,-2,5c154fd81d122,-2,0,0,0,ANT47ILQZVH34,0,-2,3,1,0,,0,4,-2,1,-2,-2,0,0,0,0,-2,0,2
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,5,0,1,0,0,1,1,,0,0,2,4,0,0,0,-2,5c154f9b0c2fc,-2,0,0,0,A13USF28TRFLKR,0,-2,0,3,0,,0,5,-2,1,-2,-2,0,0,0,0,-2,0,0
0,0,3,0,-1,0,0,1,0,0,0,0,0,-1,-2,0,-2,0,0,0,1,0,0,4,1,3,8,-2,3,0,0,-2,0,-2,5c154f567845a,-2,-2,-2,0,A2JR7P98DS3B8X,0,-2,0,3,3,,1,2,-2,0,-2,0,-2,0,7,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,2,1,1,5,-2,6,0,0,-2,0,-2,5c156bba9449a,-2,-2,-2,0,A6SR4BU227GUH,0,-2,0,6,3,,1,4,-2,0,-2,0,-2,0,4,0,0,0,
0,0,0,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,6,1,6,7,-2,1,0,0,-2,0,-2,5c154f6c38df6,-2,-2,-2,0,A198MSVO1VTAT5,0,-2,0,6,0,,0,0,-2,0,-2,0,-2,0,7,0,0,0,
12,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0,-2,0,0,-2,0,0,1,0,0,4,1,,0,-2,3,0,11,-2,0,0,5c156bf002250,0,-2,-2,0,A3LAAPYYOPNDBU,0,0,0,6,0,4,0,0,0,0,0,-2,-2,0,0,0,-2,1,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,1,2,-2,4,0,0,-2,0,-2,5c157cbac506f,-2,-2,-2,0,AOOLS8280CL0Z,0,-2,0,5,3,,0,4,-2,0,-2,0,-2,0,2,0,0,0,
9,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,1.0,-2,0,1,-2,0,3,1,0,0,5,1,,0,-2,0,0,9,-2,0,1,5c154fe4496fd,1,-2,-2,0,A2YS9SGN7HL06B,0,0,0,5,0,2,0,3,0,0,1,-2,-2,0,0,0,-2,0,
12,0,0,-2,-1,0,-2,1,-1,2,0,0,-2,1.0,-2,0,1,-2,0,2,1,1,0,5,1,,0,-2,3,0,11,-2,0,1,5c156d4179975,1,-2,-2,0,A8HZB5243LD19,0,0,0,5,0,1,0,4,0,0,1,-2,-2,0,0,0,-2,2,
11,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,0.666666666667,-2,0,1,-2,0,1,1,2,0,4,1,,0,-2,2,0,12,-2,0,1,5c1550fb8e7eb,0,-2,-2,0,A2TXC8Q2IFGRXH,0,0,0,5,0,4,0,4,0,0,0,-2,-2,0,0,0,-2,1,
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-2,0,-1,-2,0,0,0,0,0,2,1,,0,-2,2,0,0,-2,0,-1,5c155036c1dab,-1,-2,-2,0,A3G1BBREGPNMXM,0,-1,0,2,0,2,0,2,-1,0,-1,-2,-2,0,0,0,-2,0,
0,0,0,-2,0.285714285714,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,9,0,1,0,0,1,1,,0,0,4,8,0,0,0,-2,5c1555a560dbf,-2,0,1,0,ANJJYKB47APL5,0,-2,3,1,0,,0,3,-2,1,-2,-2,0,0,0,0,-2,0,0
8,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,3,1,,0,-2,2,0,8,-2,0,0,5c154f92c984e,0,-2,-2,0,A3ESC1H6BBKF30,0,0,0,5,0,4,0,2,0,0,1,-2,-2,0,0,0,-2,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,3,6,-2,1,0,0,-2,0,-2,5c1557f8b84a5,-2,-2,-2,0,A37SAYSVQF9M46,0,-2,0,4,3,,0,1,-2,0,-2,0,-2,0,6,0,0,0,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,2,1,1,7,-2,6,0,0,-2,0,-2,5c155199d463b,-2,-2,-2,0,A3HII8DX9SINOU,0,-2,0,1,3,,1,3,-2,0,-2,0,-2,0,6,0,0,0,
8,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,5,1,,0,-2,3,0,11,-2,0,1,5c154fe04c639,1,-2,-2,0,A3D3EB91I4WAXE,0,0,0,5,0,3,0,2,0,0,1,-2,-2,0,0,0,-2,0,
0,0,3,0,-1,0,0,1,0.5,0,0,0,1,-1,-2,0,-2,0,0,0,1,0,0,5,1,3,4,-2,4,0,0,-2,0,-2,5c15508bb6cf8,-2,-2,-2,0,A26NGLGGFTATVN,0,-2,0,5,3,,0,3,-2,0,-2,0,-2,0,4,0,0,0,
0,0,0,-2,0.5,0,-2,1,-1,0,3,0,-2,-1,0,0,-2,-2,15,0,1,0,0,6,1,,0,1,0,13,0,0,0,-2,5c155118387ab,-2,0,0,0,A1U2A42K8FV3RA,0,-2,3,6,0,,0,2,-2,2,-2,-2,1,0,0,0,-2,0,3
19,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.285714285714,-2,0,0,-2,0,3,1,0,0,4,1,,0,-2,2,0,17,-2,0,1,5c156f0110e15,0,-2,-2,0,A30MP4LXV4MIFD,0,0,0,1,0,3,0,4,0,0,0,-2,-2,0,0,0,-2,2,
13,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,4,0,4,1,,0,-2,2,0,15,-2,0,1,5c156c220b23a,1,-2,-2,0,A3JPYCC2U4D9CZ,0,0,0,2,0,6,0,4,0,0,1,-2,-2,0,0,0,-2,2,
22,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,4,0,4,1,,0,-2,4,0,24,-2,0,1,5c155022191a9,1,-2,-2,0,AA5JX15B6CHPD,0,0,0,2,0,0,0,5,0,0,1,-2,-2,0,0,0,-2,2,
14,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,1,1,,0,-2,4,0,16,-2,0,1,5c15541889cfb,1,-2,-2,0,A3DWBJAOIJB5ZO,0,0,0,4,0,0,0,6,0,0,1,-2,-2,0,0,0,-2,1,
9,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,0,-2,0,0,-2,0,0,1,0,0,0,1,,0,-2,4,0,8,-2,0,0,5c156274bf89f,0,-2,-2,0,A122XBTHLAFX51,0,0,0,0,0,1,0,6,0,0,0,-2,-2,0,0,0,-2,1,
14,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,0,-2,0,0,-2,0,1,1,2,0,0,1,,0,-2,4,0,15,-2,0,0,5c154f42ca2a3,0,-2,-2,0,AZ79FR04OLJX8,0,0,0,2,0,0,0,6,0,0,0,-2,-2,0,0,0,-2,1,
